clean_text,category,predicted
sir also staunch modi supporter but you should give credit our drdo scientists also,neutral,neutral
aloo factory productions ,neutral,neutral
because they are pigs who were born raised lutyens poop they have been habituated eating sweet liberal tatti bcoz they cant digest bitter truth modis success,positive,negative
"indian modi plans national broadcast wednesday
",neutral,neutral
narendra modi spearhead bjps election campaign chhattisgarh ⚡ ,neutral,neutral
who responsible modi did fired ,positive,negative
feel when bjp wins 23rd may and modi becomes pmyoure gonna the saddest woman the planet gonna tag you and ask your wellbeing though,positive,negative
atleast today for once modi must thank nehru that invested building institutions like isro drdo and not gaushalas else whole india wud have been picking gobar instead scientific temper ,positive,neutral
thats not the full video this video itself saying that thia situation made modi bhakts,positive,neutral
"story gujarat when modi was its the year 2003when was denied minimum pay for his job
such ppl are now prefixing word their names without realizing how much hard work and responsibility even this job requires
",negative,negative
why only add 10th narendra modi ,neutral,neutral
cant the give credit2nehru for yesterdays asat missile test afterall was who foresaw that modi would become 2014 and would need election time gimmick2return2power and inspired his descendants ensure that drdoisro were cold storage till 2019,negative,neutral
tavleen has her heart the right place shes pained seeing intolerance and injustice against muslims she has written articles about every one them she blames everyone but stops just short blaming her boss modi,positive,neutral
"nhconstruction
29023 33yrs before1980 10279 btwen1980 1998
23814 vajpayee tenure
29735 yrs upa
39648 during modi govt
61164 ongoing highway construction
34800 bharatmala project 53031 new projects declared ",positive,neutral
modi has failed jobs and prices and shows more than indians surveyed during mayjuly 2018the beginning the last year prime minister narendra modi’ governmentsaid the lack ,neutral,negative
are kisko chahta bolo and vese bhi boys who care about modi humko kay modi equal opportunity right nahi rahe mans fir kay fayda unka,positive,neutral
hats off you modi you are there make india powerful nation opposition parties are there make people india lazy and dependent will the loser you don’ become again ,positive,positive
"’ election time across asia and ’ ranting again
⠀⠀⠀⠀⠀⠀⠀⠀⠀
how and why india’ modi stands lose his huge parliamentary majority the upcoming polls ’ all about farmers ",positive,neutral
theres international treaty space armament drawn somewhere europe india did not test this space weapon then how could become one the founding members that treaty you very well know this aspect yet simply criticize modi you talk get lost ,positive,neutral
rahul gandhi jis proposal will carry higher weightage with simple poor voters bjp wasting time explaining arithmetic their schemed modi should announce better scheme else prepared sit opposition,positive,negative
slaves and jihadis pls dont watch this video modi rahul 2019 ,neutral,negative
basic difference between modi and other party modi always tak 130 corers indians and other are only says dalits muslims minorities why are you always add peoples cast mayawati are only think about dalits what about upper cast why you differentiate indians,negative,neutral
"only pidis like priyanka get confused and cant understand whats propoor modi gave over crore toilets pmkisan for poor farmers over crore cylinder connections electricity connection for all free healthcare under ayushman bharat
",negative,negative
you talk like many who want answer for everything from modi why should anyone speak word about tussle create more controversy maybe they will provide team and support everything takes time stalin theretheir wont any temples ,positive,negative
yes modi went pakistan mirage 2000 serve biriyanis very hot 1000 kilo biriyanis ,positive,neutral
aimim chief criticises modi for launching merchandise ‘after all the jobless youth victims demo gst modi’ ilaaj buy tshirts from him’ ,neutral,negative
modi pulled drdo after got presentation from drdo this happened late 2016,negative,neutral
"just observation some comedians just take stances for the sake taking them you even know what youre promoting
they call some people modi bhakts but the real question how much money has given you blabber just because you can",positive,neutral
inke sath tou modi busy hain  ,positive,neutral
this not the time rebuild the party for 2024this the time see that bjp gets least possible seatsevery seat countsby giving aap getting triangular wont get any seat and bjp will take 3something better than nothingstupidity,positive,negative
breakingnews india modi says live address that the country has successfully testfired antisatellite weapon that destroyed lowearth orbit satellite ,positive,neutral
swaminathan rahuls scheme not flawed seem speaking language master vineet jain who licker modi have brains then just see success manreg remember what peolle said about rgat time doesnt seem that time even adhaar was not12,positive,positive
within matter seconds from saying modi took credit for asat rajdeep gave credit mangalyan and chandrayan upa hypocrisy bhi hadd hoti,neutral,neutral
dont india has the luxury time its hands that merits waiting for modi educated swift boot the rear best for all concerned,positive,neutral
when indira gandhi divided pakistan and bangladesh and pakistans 90000 soldiers surrendered before indian military can modi this,negative,negative
what are you crazy ,negative,negative
you tell why modi hide his wife name before 2014 election,neutral,neutral
world proud india modi congress only lootero,positive,negative
this probably get more likes from brainless bhakts ,positive,negative
wwe modi rahul gandhi election version fastlane via ,neutral,neutral
good great modi ,positive,positive
feel way abhinandans capture averted major crisis the domestic mood was suddenly favor securing his release first pakistan didnt give enough reasons for india escalate given that modi clearly not happy seems that his plans were derailed,negative,neutral
and figured speech ,neutral,neutral
expecting modi announce doles counter pappus promise surely not happening that not how modi does politics expected continue with stating his vision poverty free doubling farmers incomes and strong india 2022,positive,negative
just like giving back medals after javed akhtar sameer slams narendra modi biopic have not written any song movies news ,neutral,neutral
don’ care about being disappointed all but these are the issues which every little stucco congress asking from modi govt can you please specify your called tough questions ,negative,negative
why don’ you talk about your achievements instead you are just creating chaos trying demean india and modi,neutral,negative
just come jammu and see the ever jammed city roads emptyshops closed lol rushing modi rally venue unprecedented,positive,neutral
the bjp spot slipping from 240 200 now hear back towards 160180 type number leading indicators that happening modi assassination plots timesnow nitin gadkari making statements ,negative,negative
"
narendra modi empowering indians providing them with  highquality health care
 affordable safe and adequate housing
 access clean water clean air clean surroundings required maintain healthy life
 adequate health insurance",positive,positive
exactly don’ want moron india ’ not about playing game mobile ’ about driving country forward modi can only don’ want nepotistic joker want leader ,negative,negative
inc didn’ nurture democracy and press freedom now modi and pandey,neutral,negative
"modi provided cheaper electricity 100 population
people didnt use connections
congress modi failed
sad",negative,negative
you are not with modi you are with antiindia forces tejasvi suryas speech that made him internet sensation ,neutral,neutral
"breaking modi’ announces india’ antisatellite missile system with successful test against low earth orbit satellite codenamed mission shakti
",positive,positive
you will defeated comprehensively the agent british rule promoter dynastic ruler and corrupt party lord krishna visited this country destroy dynasts now modi came for the same purpose watch out,negative,negative
this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,positive,neutral
"after watching program dil mange modi once more
",positive,neutral
"watch ‘these lines have touched heart’ lata mangeshkar records modis poem for jawans and will give you goosebumps calls ‘inspiring’
",positive,positive
"behaviour from the israeli the risk being invited pakistan would expect similar from modi the saffron robed charlatan uttar pradesh and saw similar behaviour from trump
well the mind boggles from the saudi leadership",neutral,negative
what has stopped modi bring dole promises after all indian voters will buy into fake loan waiver promises inc modi must announce pension scheme big budget scheme ,negative,negative
finally agrees that was doing politics the time pulwama truth always speaks and comes out even from the mouth world greatest liar modi all times bjp was denying his presence there,positive,neutral
all you have managed convince not vote for narendra modi thats not problem our constitution precludes him from running for the office president still say your views appear emotionally driven base decisions logic and reasoning,negative,neutral
might not bjpians but under modi are very very proud indians,positive,positive
for those who are saying modi government does not deserve any credit ,neutral,negative
was asked bend before hitler modi gujju amit shah but this ghati crawling ,neutral,neutral
bjp side opportunity given young member other side they are just used for trolling  this enough vote for modi,negative,neutral
this funny kunal kamra ostanding comedian his live feed says tho hates bjp theres way earth can ever vote for congress least bjp has ideology congress has absolutely thoughts manifesto besides thrash modi and win the election,positive,neutral
modi promised gave lakh why not rahul uncapable give 72000×5360000 for year ,neutral,negative
your father mulayam want see modi again are for modi are for please come and join movement contribute nation building,neutral,positive
morongini long people like there will difficult defeat modi tks knows congress bring neghru more tlk abt walnut less neghru more vote swing towards bjp set nice trap dump heads never learn ,positive,neutral
see the difference and the difference while casting your votes this election ,neutral,neutral
rahul jis excellent vision help youth modi vision loot money the form various taxes ,positive,neutral
modi different economic times hindus from pakistan get indian citizenship via ,positive,neutral
modi address bjp rally jammu ,neutral,neutral
fake promise now politics like losing and sold out news channel support him modi government under too much crime increase that reason ppl says ाेशबचा ,negative,negative
"day when talked about sanitation congress laughed and made fun that but
today only because focus modi the sanitation coverage has increased from miracle modi ",positive,neutral
creating comparisons without context foolish clearly raga seems worried about losing amethi and hence has chosen wayanad quite unlike the bold modi move 2014 ,positive,negative
exactly that was the most stupid statement that boy and because that modi gave him ticket basically whoever says only modi right everyone else anti indian gets ticket for seats waah ाेशबचा,positive,negative
are ready welcome our countries progress are all ready welcome you are with our indias progress are with you modi ,positive,positive
then modi will shoot from asat,neutral,neutral
modi and nawazsharif have countless similarties,neutral,neutral
did ever asked modi how finance his schemes self promotion using crores public money himself building statue 9000 croreu dont guts even ask about intel failure pulwana chamcha ,negative,neutral
pardon typo errors and won’ blame modi for ,neutral,neutral
